xzb youtube x直播
$c_start 央视$c_end
🇨🇳CCTV央视,#genre#
精品大剧HD,http://111.11.121.184:6610/030000001001/jdaju/1.m3u8?channel-id=ystenlive
黑莓电影HD,http://111.11.121.184:6610/030000001001/jdianying/1.m3u8?channel-id=ystenlive
精品体育HD,http://111.11.121.184:6610/030000001001/jtiyu/1.m3u8?channel-id=ystenlive
黑莓电竞HD,http://111.11.121.184:6610/030000001001/wmyx/1.m3u8?channel-id=ystenlive
爱情喜剧HD,http://111.11.121.184:6610/030000001001/aiqingxj/1.m3u8?channel-id=ystenlive
古装剧场HD,http://111.11.121.184:6610/030000001001/guzhuangjc/1.m3u8?channel-id=ystenlive
动作电影HD,http://111.11.121.184:6610/030000001001/dongzuody/1.m3u8?channel-id=ystenlive
军旅剧场HD,http://111.11.121.184:6610/030000001001/junlvjc/1.m3u8?channel-id=ystenlive
海外剧场HD,http://111.11.121.184:6610/030000001001/xiqumd/1.m3u8?channel-id=ystenlive
家庭剧场HD,http://111.11.121.184:6610/030000001001/jiatingjc/1.m3u8?channel-id=ystenlive
黑莓动画HD,http://111.11.121.184:6610/030000001001/donghuawg/1.m3u8?channel-id=ystenlive
金牌综艺HD,http://111.11.121.184:6610/030000001001/saishijx/1.m3u8?channel-id=ystenlive
惊悚悬疑HD,http://111.11.121.184:6610/030000001001/jingsongxy/1.m3u8?channel-id=ystenlive
精品记录HD,http://111.11.121.184:6610/030000001001/jingpinjl/1.m3u8?channel-id=ystenlive
明星大片HD,http://111.11.121.184:6610/030000001001/mingxingdp/1.m3u8?channel-id=ystenlive
军事评论HD,http://111.11.121.184:6610/030000001001/junshipl/1.m3u8?channel-id=ystenlive
农业致富HD,http://111.11.121.184:6610/030000001001/nongyezf/1.m3u8?channel-id=ystenlive
潮妈辣婆HD,http://111.11.121.184:6610/030000001001/HD-1500k-720P-cmlapo/1.m3u8?channel-id=ystenlive
健康有约HD,http://111.11.121.184:6610/030000001001/ljiankangyouyue/1.m3u8?channel-id=ystenlive
中国功夫HD,http://111.11.121.184:6610/030000001001/SD-1500k-576P-gzkongfu/1.m3u8?channel-id=ystenlive
搏击HD,http://111.11.121.184:6610/030000001001/SD-1500k-576P-bokesen/1.m3u8?channel-id=ystenlive

湖南衛視,http://117.148.179.172/PLTV/88888888/224/3221231729/index.m3u8
湖南衛視,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8
湖南衛視,http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8
湖南衛視,http://117.148.179.37/PLTV/88888888/224/3221228824/index.m3u8
江蘇衛視,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
江蘇衛視,http://117.148.179.37/PLTV/88888888/224/3221228821/index.m3u8

浙江衛視,http://117.148.179.140/PLTV/88888888/224/3221229352/index.m3u8
浙江衛視,http://117.148.179.136/PLTV/88888888/224/3221231567/index.m3u8
浙江衛視,http://117.148.179.37/PLTV/88888888/224/3221228837/index.m3u8
東方衛視,http://117.148.179.160/PLTV/88888888/224/3221231738/index.m3u8
東方衛視,http://117.148.179.167/PLTV/88888888/224/3221231450/index.m3u8
廣東衛視,http://117.148.179.141/PLTV/88888888/224/3221231891/index.m3u8
廣東衛視,http://117.148.179.159/PLTV/88888888/224/3221231502/index.m3u8
廣東衛視,http://117.148.179.37/PLTV/88888888/224/3221228812/index.m3u8

北京衛視,http://117.148.179.168/PLTV/88888888/224/3221231732/index.m3u8
北京衛視,http://117.148.179.37/PLTV/88888888/224/3221228828/index.m3u8
天津衛視,http://117.148.179.146/PLTV/88888888/224/3221228905/index.m3u8
天津衛視,http://117.148.179.37/PLTV/88888888/224/3221228818/index.m3u8
山東衛視,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8
山東衛視,http://117.148.179.37/PLTV/88888888/224/3221228834/index.m3u8
山東衛視,http://117.148.179.135/PLTV/88888888/224/3221227955/index.m3u8
湖北衛視,http://117.148.179.142/PLTV/88888888/224/3221231888/index.m3u8
湖北衛視,http://117.148.179.37/PLTV/88888888/224/3221228815/index.m3u8
湖北衛視,http://117.148.179.134/PLTV/88888888/224/3221231523/index.m3u8
黑龍江衛視,http://117.148.179.141/PLTV/88888888/224/3221231967/index.m3u8
黑龍江衛視,http://117.148.179.162/PLTV/88888888/224/3221231520/index.m3u8
黑龍江衛視,http://117.148.179.37/PLTV/88888888/224/3221228827/index.m3u8

安徽衛視,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
遼寧衛視,http://117.148.179.152/PLTV/88888888/224/3221231802/index.m3u8
江西衛視,http://117.148.179.141/PLTV/88888888/224/3221231964/index.m3u8
江西衛視,http://117.148.179.37/PLTV/88888888/224/3221228840/index.m3u8
江西衛視,http://117.148.179.157/PLTV/88888888/224/3221231511/index.m3u8
四川衛視,http://117.148.179.142/PLTV/88888888/224/3221231885/index.m3u8
四川衛視,http://117.148.179.176/PLTV/88888888/224/3221231517/index.m3u8
河北衛視,http://117.148.179.179/PLTV/88888888/224/3221231411/index.m3u8
貴州衛視,http://117.148.179.160/PLTV/88888888/224/3221231676/index.m3u8
南方衛視,http://117.148.179.160/PLTV/88888888/224/3221231661/index.m3u8
山西衛視,http://117.148.179.169/PLTV/88888888/224/3221231444/index.m3u8
東南衛視,http://117.148.179.160/PLTV/88888888/224/3221231414/index.m3u8
青海衛視,http://117.148.179.151/PLTV/88888888/224/3221231435/index.m3u8
雲南衛視,http://117.148.179.141/PLTV/88888888/224/3221231499/index.m3u8
河南衛視,http://117.148.179.144/PLTV/88888888/224/3221231514/index.m3u8
陝西衛視,http://117.148.179.156/PLTV/88888888/224/3221231408/index.m3u8
吉林衛視,http://117.148.179.164/PLTV/88888888/224/3221231472/index.m3u8
廣西衛視,http://117.148.179.164/PLTV/88888888/224/3221231600/index.m3u8
西藏衛視,http://117.148.179.162/PLTV/88888888/224/3221231558/index.m3u8
內蒙古衛視,http://117.148.179.151/PLTV/88888888/224/3221231478/index.m3u8

寧夏衛視,http://117.148.179.160/PLTV/88888888/224/3221231441/index.m3u8

甘肅衛視,http://117.148.179.158/PLTV/88888888/224/3221231393/index.m3u8
重慶衛視,http://117.148.179.155/PLTV/88888888/224/3221231508/index.m3u8
新疆衛視,http://117.148.179.183/PLTV/88888888/224/3221231451/index.m3u8

兵團衛視,http://117.148.179.162/PLTV/88888888/224/3221231469/index.m3u8
廈門衛視,http://117.148.179.134/PLTV/88888888/224/3221229184/index.m3u8
北京文藝,http://117.148.179.160/PLTV/88888888/224/3221231570/index.m3u8
四海釣魚,http://117.148.179.159/PLTV/88888888/224/3221231718/index.m3u8
環球旅遊,http://117.148.179.154/PLTV/88888888/224/3221231712/index.m3u8
嘉佳卡通,http://117.148.179.144/PLTV/88888888/224/3221231483/index.m3u8
金鷹紀實,http://117.148.179.141/PLTV/88888888/224/3221231582/index.m3u8
江蘇教育,http://117.148.179.158/PLTV/88888888/224/3221231631/index.m3u8
優漫卡通,http://117.148.179.183/PLTV/88888888/224/3221231574/index.m3u8
山東教育衛視,http://117.148.179.157/PLTV/88888888/224/3221231549/index.m3u8
東方影視,http://117.148.179.166/PLTV/88888888/224/3221231639/index.m3u8
上海紀實人文,http://117.148.179.168/PLTV/88888888/224/3221231612/index.m3u8
上海都市,http://117.148.179.165/PLTV/88888888/224/3221231618/index.m3u8
歡笑劇場,http://117.148.179.168/PLTV/88888888/224/3221230739/index.m3u8
幸福彩,http://117.148.179.156/PLTV/88888888/224/3221231730/index.m3u8
東方財經浦東,http://117.148.179.176/PLTV/88888888/224/3221231646/index.m3u8
哈哈炫動,http://117.148.179.136/PLTV/88888888/224/3221231480/index.m3u8
哈哈炫動,http://117.148.179.36/PLTV/88888888/224/3221229065/index.m3u8
法治天地,http://117.148.179.182/PLTV/88888888/224/3221231597/index.m3u8


+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
$c_start 港台$c_end
🛰️港台,#genre#
翡翠台,https://bcovlive-a.akamaihd.net/f23dfe49b06b45d8878b55b4b6909595/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
J2台,http://206.119.173.184/tv/js.php?id=9
无线财经,http://206.119.173.184/tv/js.php?id=14
无线新闻,http://206.119.173.184/tv/js.php?id=12
明珠台,http://206.119.173.184/tv/js.php?id=6
VIUTV,http://206.119.173.184/tv/js.php?id=15
香港开电视,http://61.222.202.191/tbs.php?id=7
RHK31,http://206.119.173.184/tv/js.php?id=17
RHK32,http://206.119.173.184/tv/js.php?id=18
now新闻,http://61.222.202.191/tbs.php?id=16
now财经http://61.222.202.191/tbs.php?id=17

J2台,http://50.7.218.42:8278/j2_twn/playlist.m3u8?tid=ME1E2231530922315309&ct=19030&tsum=75566c3660711276e2c5e760db4ff840
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8
明珠台,http://185.207.176.189:8080/channels/tv-84/playlist.m3u8
无线财经,http://185.207.176.189:8080/channels/tv-85/playlist.m3u8
VIUTV,http://185.207.176.189:8080/channels/tv-99/playlist.m3u8
VIUTV6,http://185.207.176.189:8080/channels/tv-96/playlist.m3u8
RHK31,http://185.207.176.189:8080/channels/tv-31/playlist.m3u8
RHK32,http://185.207.176.189:8080/channels/tv-32/playlist.m3u8
翡翠台,http://185.207.176.189:8080/channels/tv-81/playlist.m3u8
J2,http://185.207.176.189:8080/channels/tv-82/playlist.m3u8

HKC有线新闻台,https://api.leonardpark.dev/live/icable/109
HKC有线财经资讯台,https://api.leonardpark.dev/live/icable/108
HKC有线直播新闻台,https://api.leonardpark.dev/live/icable/110

香港开电视,http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8

C+,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-U1-NO/03.m3u8
C+,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-U1-NO/index.m3u8
香港HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星卫电影台,http://data.3g.yy.com/live/hls/29900720/29900720

youtube x直播

凤凰资讯,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8	
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8$JS	
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8$JS1080P
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8

民视,rtmp://59.124.75.157/sat/tv051
台视,rtmp://59.124.75.157/sat/tv071
中视,rtmp://59.124.75.157/sat/tv091
华视,rtmp://59.124.75.157/sat/tv111
TVBS欢乐台,rtmp://59.124.75.157/sat/tv421
TVBS新闻台,rtmp://59.124.75.157/sat/tv551
东森超视,rtmp://59.124.75.157/sat/tv331
东森财经新闻,rtmp://59.124.75.157/sat/tv571
纬来日本,rtmp://59.124.75.157/sat/tv771
纬来育乐,rtmp://59.124.75.157/sat/tv701
纬来体育,rtmp://59.124.75.157/sat/tv721
ELEVEN1,rtmp://59.124.75.157/sat/tv731
ELEVEN2,rtmp://59.124.75.157/sat/tv741
MoMo综合台,rtmp://59.124.75.157/sat/tv761
爱尔达体育1,rtmp://59.124.75.157/sat/md011
爱尔达体育2,rtmp://59.124.75.157/sat/md041
博斯运动,rtmp://59.124.75.157/sat/md031

台视,http://59.125.101.187:8502/http/61.221.81.94:8088/hls/72/814/ch46.m3u8 
中视,http://59.125.101.187:8502/http/61.221.81.94:8088/hls/72/814/ch47.m3u8 
华视,http://59.125.101.187:8503/http/61.221.81.94:8088/hls/72/814/ch48.m3u8 
民视,http://59.125.101.187:8504/http/61.221.81.94:8088/hls/73/815/ch49.m3u8 
公视,http://59.125.101.187:8505/http/61.221.81.94:8088/hls/73/815/ch50.m3u8 
国家地理,http://59.125.101.187:8509/http/61.221.81.94:8088/hls/61/803/ch01.m3u8 
Discovery,http://59.125.101.187:8510/http/61.221.81.94:8088/hls/71/813/ch44.m3u8 
旅游生活,http://59.125.101.187:8570/http/61.221.81.94:8088/hls/70/812/ch38.m3u8 
动物星球,http://59.125.101.187:8512/http/61.221.81.94:8088/hls/70/812/ch37.m3u8 
八大综合,http://59.125.101.187:8520/http/61.221.81.94:8088/hls/66/808/ch21.m3u8 
亚洲旅游,http://59.125.101.187:8513/http/61.221.81.94:8088/hls/76/818/ch61.m3u8 
迪士尼,http://59.125.101.187:8581/http/61.221.81.94:8088/hls/70/812/ch40.m3u8 
东森幼幼,http://59.125.101.187:8515/http/61.221.81.94:8088/hls/63/805/ch09.m3u8 
ANIMAX,http://59.125.101.187:8516/http/61.221.81.94:8088/hls/70/812/ch39.m3u8 
龙华卡通,http://59.125.101.187:8528/http/59.120.8.187:8066/hls/210/10013/cstv13.m3u8 
